chlorides,Count
,0
0.076,51
0.098,12
0.092,22
0.075,45
0.069,21
0.065,23
0.073,35
0.071,47
0.097,18
0.089,25
0.114,11
0.176,1
0.17,1
0.368,1
0.086,31
0.341,1
0.077,47
0.082,46
0.106,8
0.084,49
0.085,25
0.08,66
0.105,6
0.083,35
0.103,7
0.066,32
0.172,1
0.074,55
0.088,32
0.332,1
0.05,12
0.054,13
0.113,1
0.068,30
0.081,40
0.11,8
0.07,35
0.111,7
0.079,43
0.115,5
0.094,19
0.093,21
0.104,16
0.464,1
0.401,1
0.062,24
0.107,9
0.045,4
0.058,14
0.102,10
0.467,1
0.091,19
0.122,7
0.09,21
0.119,3
0.178,2
0.146,1
0.072,24
0.118,8
0.049,8
0.06,16
0.117,4
0.087,25
0.236,1
0.61,1
0.095,23
0.1,13
0.36,1
0.067,27
0.27,1
0.099,8
0.046,4
0.061,11
0.056,9
0.039,4
0.059,17
0.101,5
0.057,10
0.337,1
0.078,51
0.263,1
0.063,22
0.611,1
0.064,20
0.096,18
0.358,1
0.343,1
0.186,1
0.112,6
0.213,1
0.214,3
0.121,2
0.128,1
0.052,10
0.12,3
0.116,2
0.109,3
0.159,1
0.124,3
0.174,1
0.047,4
0.127,1
0.413,1
0.152,2
0.053,5
0.055,8
0.051,1
0.125,1
0.2,1
0.171,2
0.226,2
0.25,1
0.108,1
0.148,1
0.143,1
0.222,1
0.157,3
0.422,1
0.034,1
0.387,1
0.415,3
0.243,1
0.241,1
0.19,1
0.132,4
0.126,1
0.038,2
0.044,5
0.041,4
0.165,1
0.048,8
0.145,1
0.147,1
0.012,2
0.194,1
0.161,1
0.123,6
0.414,2
0.216,1
0.043,1
0.042,3
0.369,1
0.166,3
0.136,1
0.403,1
0.137,1
0.168,1
0.153,1
0.267,1
0.169,1
0.205,2
0.235,1
0.23,1
